EDTA,2513,AA amyloid secondary to chronic inflammation
EDTA,1768,Acquired obstructive nephropathy due to neurogenic bladder
EDTA,1752,Acquired obstructive uropathy / nephropathy
EDTA,3442,Acute cortical necrosis
EDTA,3380,Acute kidney injury
EDTA,3403,Acute kidney injury due to circulatory failure
EDTA,3398,Acute kidney injury due to hypovolaemia 
EDTA,3435,Acute kidney injury due to nephrotoxicity
EDTA,3426,Acute kidney injury due to rhabdomyolysis
EDTA,3419,Acute kidney injury due to sepsis
EDTA,3457,Acute pyelonephritis
EDTA,2196,Acute urate nephropathy - histologically proven
EDTA,2183,Acute urate nephropathy - no histology
EDTA,1003,Adult nephrotic syndrome - no histology
EDTA,2392,Ageing kidney - no histology
EDTA,2521,AL amyloid secondary to plasma cell dyscrasia
EDTA,3071,Alagille syndrome
EDTA,2760,Alport syndrome - histologically proven
EDTA,2756,Alport syndrome - no histology
EDTA,1472,Anti-Glomerular basement membrane (GBM) disease / Goodpasture's syndrome - histologically proven
EDTA,1464,Anti-Glomerular basement membrane (GBM) disease / Goodpasture's syndrome - no histology
EDTA,3118,Apparent mineralocorticoid excess
EDTA,1995,Aristolochic acid nephropathy (Balkan / Chinese herb / endemic nephropathy) - histologically proven
EDTA,1982,Aristolochic acid nephropathy (Balkan / Chinese herb / endemic nephropathy) - no histology
EDTA,2448,Atheroembolic renal disease - histologically proven
EDTA,2430,Atheroembolic renal disease - no histology
EDTA,2623,Atypical haemolytic uraemic syndrome (HUS) - diarrhoea negative
EDTA,2718,Autosomal dominant (AD) polycystic kidney disease
EDTA,2725,Autosomal dominant (AD) polycystic kidney disease type I
EDTA,2739,Autosomal dominant (AD) polycystic kidney disease type II
EDTA,2741,Autosomal recessive (AR) polycystic kidney disease
EDTA,3085,Bartter syndrome
EDTA,2773,Benign familial haematuria
EDTA,1710,Bladder exstrophy
EDTA,3322,Branchio-oto-renal syndrome
EDTA,1845,Calcium oxalate urolithiasis
EDTA,1832,Calculus nephropathy / urolithiasis
EDTA,2482,Cardiorenal syndrome
EDTA,2363,Chronic hypertensive nephropathy - histologically proven
EDTA,2359,Chronic hypertensive nephropathy - no histology
EDTA,3564,Chronic kidney disease (CKD) / chronic renal failure (CRF) - aetiology uncertain / unknown - histologically proven
EDTA,3555,Chronic kidney disease (CKD) / chronic renal failure (CRF) - aetiology uncertain / unknown - no histology
EDTA,3529,Chronic kidney disease (CKD) / chronic renal failure (CRF) caused by tumour nephrectomy
EDTA,3540,Chronic kidney disease (CKD) / chronic renal failure (CRF) due to donor nephrectomy
EDTA,3538,Chronic kidney disease (CKD) / chronic renal failure (CRF) due to traumatic loss of kidney
EDTA,3708,Chronic renal failure
EDTA,3643,Chronic renal failure due to systemic infection
EDTA,2203,Chronic urate nephropathy - histologically proven
EDTA,3636,Chronic urate nephropathy - no histology
EDTA,1440,Churg-Strauss syndrome - histologically proven
EDTA,1438,Churg-Strauss syndrome - no histology
EDTA,1625,Congenital dysplasia / hypoplasia
EDTA,2652,Congenital haemolytic uraemic syndrome (HUS) 
EDTA,1088,Congenital nephrotic syndrome (CNS) - congenital infection
EDTA,1057,Congenital nephrotic syndrome (CNS) - diffuse mesangial sclerosis
EDTA,1042,Congenital nephrotic syndrome (CNS) - Finnish type - histologically proven
EDTA,1035,Congenital nephrotic syndrome (CNS) - Finnish type - no histology
EDTA,1061,Congenital nephrotic syndrome (CNS) - focal segmental glomerulosclerosis (FSGS)
EDTA,1026,Congenital nephrotic syndrome (CNS) - no histology
EDTA,1706,Congenital neurogenic bladder
EDTA,1660,Congenital pelvi-ureteric junction obstruction
EDTA,1673,Congenital vesico-ureteric junction obstruction
EDTA,1570,Cryoglobulinaemia secondary to hepatitis C - histologically proven
EDTA,1562,Cryoglobulinaemia secondary to hepatitis C - no histology
EDTA,1591,Cryoglobulinaemia secondary to systemic disease - histologically proven
EDTA,1589,Cryoglobulinaemia secondary to systemic disease - no histology
EDTA,2794,Cystic kidney disease
EDTA,2964,Cystinosis
EDTA,2955,Cystinuria
EDTA,2929,Dent disease
EDTA,1074,Denys-Drash syndrome
EDTA,2328,Diabetic nephropathy in type I diabetes - histologically proven
EDTA,2316,Diabetic nephropathy in type I diabetes - no histology
EDTA,2344,Diabetic nephropathy in type II diabetes - histologically proven
EDTA,2337,Diabetic nephropathy in type II diabetes - no histology
EDTA,1331,Diffuse endocapillary glomerulonephritis
EDTA,3028,Distal renal tubular acidosis (RTA) - type I
EDTA,3037,Distal renal tubular acidosis with sensorineural deafness - gene mutations
EDTA,2005,Drug-induced tubulointerstitial nephritis  - no histology
EDTA,2014,Drug-induced tubulointerstitial nephritis - histologically proven
EDTA,2005,Drug-induced tubulointerstitial nephritis - no histology
EDTA,1641,Dysplasia due to fetal ACE-inhibitor exposure
EDTA,1850,Enteric hyperoxaluria 
EDTA,1558,Essential mixed cryoglobulinaemia - histologically proven
EDTA,1543,Essential mixed cryoglobulinaemia - no histology
EDTA,3230,Fabry disease - histologically proven
EDTA,3224,Fabry disease - no histology
EDTA,2566,Familial AA amyloid secondary to familial Mediterranean fever / TRAPS (Hibernian fever) - histologically proven
EDTA,2550,Familial AA amyloid secondary to familial Mediterranean fever / TRAPS (Hibernian fever) - no histology
EDTA,2545,Familial amyloid secondary to protein mutations - histologically proven
EDTA,2532,Familial amyloid secondary to protein mutations - no histology
EDTA,1308,Familial focal segmental glomerulosclerosis (FSGS) - autosomal dominant - histologically proven
EDTA,1298,Familial focal segmental glomerulosclerosis (FSGS) - autosomal dominant - no histology
EDTA,1280,Familial focal segmental glomerulosclerosis (FSGS) - autosomal recessive - histologically proven
EDTA,1279,Familial focal segmental glomerulosclerosis (FSGS) - autosomal recessive - no histology
EDTA,2668,Familial haemolytic uraemic syndrome (HUS)
EDTA,3173,Familial hypercalciuric hypocalcaemia
EDTA,3160,Familial hypocalciuric hypercalcaemia
EDTA,3187,Familial hypomagnesaemia
EDTA,1144,Familial IgA nephropathy - histologically proven
EDTA,1137,Familial IgA nephropathy - no histology
EDTA,1911,Familial interstitial nephropathy - histologically proven
EDTA,1907,Familial interstitial nephropathy - no histology
EDTA,3379,Familial nephropathy
EDTA,1618,Familial reflux nephropathy
EDTA,2675,Familial thrombotic thrombocytopenic purpura (TTP)
EDTA,2453,Fibromuscular dysplasia of renal artery
EDTA,1354,Focal and segmental proliferative glomerulonephritis
EDTA,3754,Focal segmental glomerulosclerosis (FSGS) secondary to HIV 
EDTA,3765,Focal segmental glomerulosclerosis (FSGS) secondary to lithium 
EDTA,1320,Focal segmental glomerulosclerosis (FSGS) secondary to obesity - histologically proven
EDTA,1312,Focal segmental glomerulosclerosis (FSGS) secondary to obesity - no histology
EDTA,3777,Focal segmental glomerulosclerosis (FSGS) secondary to sickle cell
EDTA,3314,Frasier syndrome
EDTA,3092,Gitelman syndrome
EDTA,1656,Glomerulocystic disease
EDTA,1377,Glomerulonephritis - histologically indeterminate
EDTA,3749,Glomerulonephritis - no histology
EDTA,1365,Glomerulonephritis - secondary to other systemic disease
EDTA,1365,Glomerulonephritis - secondary to systemic disease 
EDTA,3125,Glucocorticoid suppressible hyperaldosteronism
EDTA,1417,Granulomatosis with polyangiitis - histologically proven
EDTA,1401,Granulomatosis with polyangiitis - no histology
EDTA,3572,Haematuria and proteinuria - no histology
EDTA,2610,Haemolytic uraemic syndrome (HUS) - diarrhoea associated
EDTA,2647,Haemolytic uraemic syndrome (HUS) secondary to systemic disease
EDTA,2257,Hantavirus nephropathy
EDTA,1515,Henoch-Schönlein purpura / nephritis - histologically proven
EDTA,1504,Henoch-Schönlein purpura / nephritis - no histology
EDTA,2495,Hepatorenal syndrome
EDTA,3305,Horse-shoe kidney
EDTA,3662,Hypercalcaemic nephropathy 
EDTA,2993,Hypophosphataemic rickets autosomal recessive (AR)
EDTA,2986,Hypophosphataemic rickets X-linked (XL)
EDTA,1251,Idiopathic rapidly progressive (crescentic) glomerulonephritis
EDTA,1813,Idiopathic retroperitoneal fibrosis
EDTA,1128,IgA nephropathy - histologically proven
EDTA,1116,IgA nephropathy - no histology
EDTA,1163,IgA nephropathy secondary to liver cirrhosis - histologically proven
EDTA,1159,IgA nephropathy secondary to liver cirrhosis - no histology
EDTA,1171,IgM - associated nephropathy
EDTA,2606,Immunotactoid / fibrillary nephropathy
EDTA,3823,Infiltration by lymphoma - histologically proven
EDTA,3139,Inherited / genetic diabetes mellitus type II
EDTA,2940,Inherited aminoaciduria
EDTA,2972,Inherited renal glycosuria
EDTA,2407,Ischaemic nephropathy - no histology
EDTA,2411,Ischaemic nephropathy / microvascular disease - histologically proven
EDTA,3712,Isolated haematuria - no histology
EDTA,3720,Isolated proteinuria - no histology
EDTA,3810,Kidney stones due to ARPT deficiency
EDTA,3461,Kidney tumour
EDTA,3351,Lawrence-Moon-Biedl / Bardet-Biedl syndrome
EDTA,2177,Lead induced nephropathy - histologically proven
EDTA,2165,Lead induced nephropathy - no histology
EDTA,2242,Leptospirosis
EDTA,3059,Lesch Nyhan syndrome - hypoxanthine guanine phosphoribosyl transferase deficiency 
EDTA,3102,Liddle syndrome
EDTA,2597,Light chain deposition disease
EDTA,2938,Lowe syndrome (oculocerebrorenal syndrome)
EDTA,1866,Magnesium ammonium phosphate (struvite) urolithiasis
EDTA,2385,Malignant hypertensive nephropathy / accelerated hypertensive nephropathy - histologically proven
EDTA,2371,Malignant hypertensive nephropathy / accelerated hypertensive nephropathy - no histology
EDTA,2804,Medullary cystic kidney disease type I
EDTA,2815,Medullary cystic kidney disease type II
EDTA,3295,Medullary sponge kidneys
EDTA,1723,Megacystis-megaureter
EDTA,1205,Membranous nephropathy - drug induced
EDTA,1185,Membranous nephropathy - idiopathic
EDTA,1214,Membranous nephropathy - infection associated
